Scenario,Trial_Number,Vm_Avg_mV,IK_Avg_mA_cm2,Gmod_Avg_S_cm2,cAMP_Avg,Stim_Amp_nA
PD + A2A ON,1,-15.373,0.011,0.55000,3.020,0.1967
PD + A2A ON,2,-15.362,0.011,0.55000,3.020,0.1971
PD + A2A ON,3,-15.239,0.011,0.55000,3.020,0.2021
PD + A2A ON,4,-15.483,0.010,0.55000,3.020,0.1923
PD + A2A ON,5,-15.585,0.010,0.55000,3.020,0.1884
PD + A2A ON,6,-15.285,0.011,0.55000,3.020,0.2002
PD + A2A ON,7,-15.199,0.011,0.55000,3.020,0.2038
PD + A2A ON,8,-15.171,0.011,0.55000,3.020,0.2050
PD + A2A ON,9,-15.394,0.011,0.55000,3.020,0.1958
PD + A2A ON,10,-15.380,0.011,0.55000,3.020,0.1964
PD + A2A ON,11,-15.196,0.011,0.55000,3.020,0.2039
PD + A2A ON,12,-15.227,0.011,0.55000,3.020,0.2026
PD + A2A ON,13,-15.366,0.011,0.55000,3.020,0.1969
PD + A2A ON,14,-15.160,0.011,0.55000,3.020,0.2054
PD + A2A ON,15,-15.248,0.011,0.55000,3.020,0.2017
PD + A2A ON,16,-15.286,0.011,0.55000,3.020,0.2002
PD + A2A ON,17,-15.370,0.011,0.55000,3.020,0.1968
PD + A2A ON,18,-15.189,0.011,0.55000,3.020,0.2042
PD + A2A ON,19,-15.163,0.011,0.55000,3.020,0.2053
PD + A2A ON,20,-15.278,0.011,0.55000,3.020,0.2005
PD + A2A OFF,1,-6.559,0.011,0.05000,1.000,0.2103
PD + A2A OFF,2,-6.777,0.010,0.05000,1.000,0.2032
PD + A2A OFF,3,-6.762,0.010,0.05000,1.000,0.2036
PD + A2A OFF,4,-6.831,0.010,0.05000,1.000,0.2014
PD + A2A OFF,5,-6.776,0.010,0.05000,1.000,0.2032
PD + A2A OFF,6,-6.875,0.010,0.05000,1.000,0.2000
PD + A2A OFF,7,-6.990,0.010,0.05000,1.000,0.1964
PD + A2A OFF,8,-7.201,0.009,0.05000,1.000,0.1901
PD + A2A OFF,9,-6.836,0.010,0.05000,1.000,0.2013
PD + A2A OFF,10,-6.949,0.010,0.05000,1.000,0.1977
PD + A2A OFF,11,-6.715,0.010,0.05000,1.000,0.2052
PD + A2A OFF,12,-6.873,0.010,0.05000,1.000,0.2001
PD + A2A OFF,13,-6.936,0.010,0.05000,1.000,0.1981
PD + A2A OFF,14,-6.537,0.011,0.05000,1.000,0.2111
PD + A2A OFF,15,-6.893,0.010,0.05000,1.000,0.1995
PD + A2A OFF,16,-6.786,0.010,0.05000,1.000,0.2029
PD + A2A OFF,17,-6.764,0.010,0.05000,1.000,0.2036
PD + A2A OFF,18,-6.682,0.010,0.05000,1.000,0.2062
PD + A2A OFF,19,-6.703,0.010,0.05000,1.000,0.2056
PD + A2A OFF,20,-6.893,0.010,0.05000,1.000,0.1995
Control + A2A ON,1,-6.824,0.010,0.05000,1.000,0.2017
Control + A2A ON,2,-6.710,0.010,0.05000,1.000,0.2053
Control + A2A ON,3,-6.974,0.010,0.05000,1.000,0.1969
Control + A2A ON,4,-6.997,0.010,0.05000,1.000,0.1962
Control + A2A ON,5,-6.910,0.010,0.05000,1.000,0.1989
Control + A2A ON,6,-6.748,0.010,0.05000,1.000,0.2041
Control + A2A ON,7,-6.938,0.010,0.05000,1.000,0.1980
Control + A2A ON,8,-6.839,0.010,0.05000,1.000,0.2012
Control + A2A ON,9,-6.986,0.010,0.05000,1.000,0.1966
Control + A2A ON,10,-6.998,0.010,0.05000,1.000,0.1962
Control + A2A ON,11,-6.992,0.010,0.05000,1.000,0.1964
Control + A2A ON,12,-7.056,0.010,0.05000,1.000,0.1944
Control + A2A ON,13,-6.621,0.011,0.05000,1.000,0.2083
Control + A2A ON,14,-6.829,0.010,0.05000,1.000,0.2015
Control + A2A ON,15,-7.112,0.009,0.05000,1.000,0.1927
Control + A2A ON,16,-6.677,0.010,0.05000,1.000,0.2064
Control + A2A ON,17,-6.833,0.010,0.05000,1.000,0.2014
Control + A2A ON,18,-6.960,0.010,0.05000,1.000,0.1974
Control + A2A ON,19,-6.774,0.010,0.05000,1.000,0.2033
Control + A2A ON,20,-6.921,0.010,0.05000,1.000,0.1986
Control Baseline,1,-6.999,0.010,0.05000,1.000,0.1962
Control Baseline,2,-6.871,0.010,0.05000,1.000,0.2002
Control Baseline,3,-6.851,0.010,0.05000,1.000,0.2008
Control Baseline,4,-6.955,0.010,0.05000,1.000,0.1975
Control Baseline,5,-7.113,0.009,0.05000,1.000,0.1927
Control Baseline,6,-6.850,0.010,0.05000,1.000,0.2008
Control Baseline,7,-7.070,0.010,0.05000,1.000,0.1940
Control Baseline,8,-6.866,0.010,0.05000,1.000,0.2003
Control Baseline,9,-7.184,0.009,0.05000,1.000,0.1906
Control Baseline,10,-6.800,0.010,0.05000,1.000,0.2024
Control Baseline,11,-7.020,0.010,0.05000,1.000,0.1955
Control Baseline,12,-7.107,0.009,0.05000,1.000,0.1929
Control Baseline,13,-6.910,0.010,0.05000,1.000,0.1989
Control Baseline,14,-6.902,0.010,0.05000,1.000,0.1992
Control Baseline,15,-6.648,0.011,0.05000,1.000,0.2074
Control Baseline,16,-6.902,0.010,0.05000,1.000,0.1992
Control Baseline,17,-6.828,0.010,0.05000,1.000,0.2015
Control Baseline,18,-6.740,0.010,0.05000,1.000,0.2044
Control Baseline,19,-7.313,0.009,0.05000,1.000,0.1868
Control Baseline,20,-7.047,0.010,0.05000,1.000,0.1947
